Issuer Name,Ticker,Series,Cpn,Maturity,Maturity Type,90D Volatility,Yld to Mty (Mid),Rev Growth,Amount Issued,Amt Out,CDS Recovery Rate,CDS Spread (5yr Mid),Earnings Assets / Interest Bearing Liabililties,S&P Init Rtg Dt,S&P Init Rtg,S&P Outlook,S&P Rating
BNP Paribas SA,BNP,EMTN,2.5,8/23/2019,AT MATURITY,0.264713734,-0.210634902,0.677117288,1257670000,1257670000,0.4,41.4199,165.3775959,8/17/2012,AA-,POS,A
BNP Paribas SA,BNP,EMTN,0.224,5/20/2019,AT MATURITY,0.067024574,-0.285709226,0.677117288,1026697500,1026697500,0.4,41.4199,165.3775959,5/16/2014,A+,POS,A
Toronto-Dominion Bank/The,TD,GMTN,1.45,9/6/2018,AT MATURITY,0.459656775,2.10427907,10.21195546,1000000000,1000000000,0.4,#N/A N/A,529.8579664,8/30/2016,AA-,STABLE,AA-
Goldman Sachs Group Inc/The,GS,#N/A Field Not Applicable,5.2,12/17/2019,AT MATURITY,0.421370625,2.809126856,12.04391175,232410000,232410000,0.4,54.6932,94.06989897,12/15/2014,A-,STABLE,BBB+
Capital One Bank USA NA,COF,BKNT,2.25,2/13/2019,CALLABLE,0.870240211,2.671812336,9.011955376,1000000000,1000000000,0.4,23.8212,109.2090676,2/11/2014,BBB+,STABLE,BBB+
Citigroup Inc,C,EMTN,5.125,12/12/2018,AT MATURITY,0.234462619,1.284415325,6.772995412,1284680000,1284680000,0.2,#N/A N/A,108.7645895,10/1/2003,A+,STABLE,BBB
Wells Fargo & Co,WFC,EMTN,0.129,4/24/2019,AT MATURITY,0.081397608,-0.255441647,3.785465511,1382360000,1382360000,0.4,47.0664,136.2449198,4/16/2014,A+,STABLE,A-
ADCB Finance Cayman Ltd,ADCBUH,GMTN,2.75,9/16/2019,AT MATURITY,0.951525211,3.230828329,10.42591712,600000000,600000000,0.25,#N/A N/A,179.6670863,9/10/2014,A,#N/A N/A,A
Toronto-Dominion Bank/The,TD,DPNT,2.447,4/2/2019,AT MATURITY,0.25493136,2.136021108,10.21195546,1813730000,1813730000,0.4,#N/A N/A,529.8579664,4/4/2014,AA-,STABLE,AA-
Morgan Stanley,MS,#N/A Field Not Applicable,4.75,11/16/2018,AT MATURITY,0.154110134,2.464287866,15.00171283,688660000,688660000,0.4,52.6796,114.2785657,5/8/2013,A-,STABLE,BBB+
Intesa Sanpaolo SpA,ISPIM,GMTN,4,11/8/2018,AT MATURITY,0.433208644,-0.043363361,25.43491837,2091000000,1794635600,0.4,144.5251,247.6859916,12/7/2011,A *-,STABLE,BBB
PNC Bank NA,PNC,BKNT,1.45,7/29/2019,CALLABLE,0.703723073,2.670014445,9.815502649,1000000000,1000000000,0.4,#N/A N/A,124.6877472,7/27/2016,A,STABLE,A
National Australia Bank Ltd,NAB,GMTN,5,1/17/2020,AT MATURITY,0.506026566,2.581986238,-1.75497395,197302500,197302500,0.4,#N/A N/A,117.5859526,1/15/2014,AA-,NEG,AA-
National Australia Bank Ltd,NAB,MTN,4.25,5/20/2019,AT MATURITY,0.244807944,2.415085843,-1.75497395,462250000,462250000,0.4,#N/A N/A,117.5859526,5/19/2014,AA-,NEG,AA-
Industrial Bank of Korea,INDKOR,GMTN,2,10/30/2018,AT MATURITY,0.128216326,-0.076467629,6.904453652,688505000,688505000,0.4,#N/A N/A,134.8978974,10/23/2013,A+,STABLE,AA-
Australia & New Zealand Banking Group Ltd,ANZ,EMTN,4.75,8/6/2019,AT MATURITY,0.338642657,2.445489649,0.113869911,247060000,247060000,0.4,#N/A N/A,111.0764231,7/23/2013,AA-,NEG,AA-
US Bank NA/Cincinnati OH,USB,BKNT,2.48,5/24/2019,CALLABLE,0.32614249,2.442673695,5.504748505,1000000000,1000000000,0.4,#N/A N/A,127.7404008,5/26/2017,AA-,STABLE,AA-
JPMorgan Chase Bank NA,JPM,BKNT,1.45,9/21/2018,CALLABLE,1.025039911,2.246720162,7.975465939,500000000,500000000,0.4,40.0821,134.8625608,9/22/2016,A+,STABLE,A+
Wells Fargo Bank NA,WFC,MTN,1.8,11/28/2018,AT MATURITY,0.557393014,2.438812555,3.785465511,800000000,800000000,0.4,47.0664,136.2449198,12/5/2016,AA-,STABLE,A+
Commonwealth Bank of Australia/New York NY,CBAAU,GMTN,2.05,3/15/2019,AT MATURITY,0.312607288,2.655261785,0.852541838,750000000,750000000,0.4,#N/A N/A,113.8396329,3/9/2016,AA-,#N/A N/A,AA-
PNC Bank NA,PNC,BKNT,2.4,10/18/2019,CALLABLE,0.744114935,2.878200724,9.815502649,1250000000,1250000000,0.4,#N/A N/A,124.6877472,9/16/2014,A,STABLE,A
Commonwealth Bank of Australia,CBAAU,EMTn,0.079,1/21/2020,AT MATURITY,0.13744393,-0.246837943,0.852541838,1157470000,1157470000,0.4,#N/A N/A,113.8396329,1/19/2015,AA-,NEG,AA-
Intesa Sanpaolo SpA,ISPIM,EMTN,4,5/20/2019,AT MATURITY,0.704158366,0.334399031,25.43491837,684465000,684465000,0.4,144.5251,247.6859916,5/15/2014,BB *-,STABLE,BBB
National Australia Bank Ltd,NAB,EMTN,4.125,6/6/2019,AT MATURITY,0.3047131,2.418982557,-1.75497395,216225000,216225000,0.4,#N/A N/A,117.5859526,6/11/2013,AA-,NEG,AA-
Standard Chartered PLC,STANLN,REGS,2.1,8/19/2019,AT MATURITY,0.68726331,3.321506949,7.065327653,1000000000,1000000000,0.4,#N/A N/A,221.4619372,8/18/2016,BBB+,STABLE,BBB+
Macquarie Group Ltd,MQGAU,144A,6,1/14/2020,AT MATURITY,0.580271363,3.506102098,-11.87771701,1000000000,1000000000,0.4,#N/A N/A,95.89282895,1/12/2010,A-,STABLE,BBB
Citigroup Inc,C,#N/A Field Not Applicable,3.24919,6/7/2019,AT MATURITY,0.656464577,2.500141841,6.772995412,1000000000,1000000000,0.4,49.6902,108.7645895,6/9/2016,BBB+,STABLE,BBB+
BBVA Senior Finance SAU,BBVASM,GMTN,2.375,1/22/2019,AT MATURITY,0.275648832,-0.145667609,4.469372768,1355100000,1355100000,0.4,77.7674,162.364799,1/13/2014,BBB-,#N/A N/A,A-
Wells Fargo Bank NA,WFC,BKNT,2.56919,1/15/2020,AT MATURITY,0.495161802,2.548242419,3.785465511,1000000000,1000000000,0.4,47.0664,136.2449198,1/17/2018,AA-,STABLE,A+
National Australia Bank Ltd,NAB,REGS,2.25,7/1/2019,AT MATURITY,0.412000895,2.822996838,-1.75497395,750000000,750000000,0.4,#N/A N/A,117.5859526,7/1/2014,AA-,NEG,AA-
Citigroup Inc,C,EMTN,7.375,9/4/2019,AT MATURITY,0.365914464,-0.092238505,6.772995412,2525145000,2525145000,0.4,49.6902,108.7645895,7/28/2009,A,STABLE,BBB+
JPMorgan Chase & Co,JPM,1,2.96888,1/28/2019,AT MATURITY,0.879900634,2.435775652,7.975465939,750000000,750000000,0.4,40.0821,134.8625608,1/21/2014,A,STABLE,A-
Australia & New Zealand Banking Group Ltd/New York NY,ANZ,MTN,1.6,7/15/2019,AT MATURITY,0.429352552,2.794831952,0.113869911,1000000000,1000000000,0.4,#N/A N/A,111.0764231,7/20/2016,AA-,#N/A N/A,AA-
PNC Bank NA,PNC,BKNT,1.95,3/4/2019,CALLABLE,0.728473961,2.560851828,9.815502649,1000000000,1000000000,0.4,#N/A N/A,124.6877472,3/2/2016,A,STABLE,A
JPMorgan Chase Bank NA,JPM,BKNT,2.92506,9/23/2019,CALLABLE,0.655116677,2.542723735,7.975465939,500000000,500000000,0.4,40.0821,134.8625608,9/22/2016,A+,STABLE,A+
Commonwealth Bank of Australia,CBAAU,144A,5,10/15/2019,AT MATURITY,0.515613735,3.100120324,0.852541838,1500000000,1500000000,0.4,#N/A N/A,113.8396329,10/29/2009,AA,NEG,AA-
UniCredit SpA,UCGIM,EMTN,3.625,1/24/2019,AT MATURITY,0.428885281,0.089274421,-2.186447839,1686662500,1686662500,0.4,128.6053,190.482983,9/18/2013,BBB,STABLE,BBB
Morgan Stanley,MS,MTN,3.08706,7/23/2019,AT MATURITY,0.396465242,2.647388323,15.00171283,500000000,500000000,0.4,52.6796,114.2785657,7/17/2014,A-,STABLE,BBB+
Goldman Sachs Group Inc/The,GS,#N/A Field Not Applicable,3.37531,4/25/2019,AT MATURITY,0.92033565,2.506485617,12.04391175,500000000,500000000,0.4,54.6932,94.06989897,4/21/2016,BBB+,STABLE,BBB+
Goldman Sachs Group Inc/The,GS,EMTN,5.125,10/23/2019,AT MATURITY,0.341049105,-0.039083846,12.04391175,1503410000,1503410000,0.4,54.6932,94.06989897,11/5/2009,A,STABLE,BBB+
National Australia Bank Ltd,NAB,gmtn,4.5,1/22/2019,AT MATURITY,0.199180886,2.329489921,-1.75497395,316731000,316731000,0.4,#N/A N/A,117.5859526,2/27/2013,AA-,NEG,AA-
Commonwealth Bank of Australia,CBAAU,EMTN,5.5,8/6/2019,AT MATURITY,0.325087845,0.04908379,0.852541838,1434180000,1434180000,0.2,#N/A N/A,113.8396329,7/30/2009,AA-,NEG,BBB+
BNP Paribas SA,BNP,EMTN,5.25,9/19/2019,AT MATURITY,0.37419644,2.577075636,0.677117288,188860000,188860000,0.4,41.4199,165.3775959,9/17/2013,A+,POS,A
ICICI Bank Ltd/Dubai,ICICI,GMTN,3.65,1/14/2020,AT MATURITY,0.60934931,2.505549496,-1.628353359,183478050,183478050,0.4,#N/A N/A,138.583986,1/9/2013,BBB-,#N/A N/A,BBB-
Capital One NA,COF,BKNT,1.85,9/13/2019,CALLABLE,0.74597311,2.973753898,9.011955376,1250000000,1250000000,0.4,54.9687,109.2090676,9/9/2016,BBB+,STABLE,BBB+
Commonwealth Bank of Australia,CBAAU,REGS,1.375,9/6/2018,AT MATURITY,0.323408842,2.688625713,0.852541838,700000000,700000000,0.4,#N/A N/A,113.8396329,9/6/2016,AA-,NEG,AA-
JPMorgan Chase & Co,JPM,#N/A Field Not Applicable,4.25,11/2/2018,AT MATURITY,0.111235037,2.413773165,7.975465939,424850000,424850000,0.4,40.0821,134.8625608,4/25/2013,A,STABLE,A-
Standard Chartered PLC,STANLN,144A,2.1,8/19/2019,AT MATURITY,0.710381389,3.282867641,7.065327653,1000000000,1000000000,0.4,#N/A N/A,221.4619372,8/18/2016,BBB+,STABLE,BBB+
Banco Santander SA,SANTAN,EMTN,0.965,2/12/2019,AT MATURITY,20.59627533,-1.418084936,2.40844333,711778500,705555300,0.2,158.8501,129.7739331,2/19/2007,A+,STABLE,BBB+
Commonwealth Bank of Australia,CBAAU,144A,1.375,9/6/2018,AT MATURITY,0.124230385,2.421932949,0.852541838,700000000,700000000,0.4,#N/A N/A,113.8396329,9/6/2016,AA-,NEG,AA-
ADCB Finance Cayman Ltd,ADCBUH,GMTN,3,3/4/2019,AT MATURITY,0.309758127,2.932297911,10.42591712,750000000,750000000,0.25,#N/A N/A,179.6670863,2/25/2014,A,#N/A N/A,A
Goldman Sachs Group Inc/The,GS,EMTN,0.75,5/10/2019,AT MATURITY,0.199602202,-0.155282724,12.04391175,1686930000,1686930000,0.4,54.6932,94.06989897,2/5/2016,BBB+,STABLE,BBB+
BNP Paribas SA,BNP,EMTN,5,1/21/2020,AT MATURITY,0.486886233,2.677364271,0.677117288,88040000,88040000,0.4,41.4199,165.3775959,1/16/2014,A+,POS,A
Bankia SA,BKIASM,#N/A Field Not Applicable,3.5,1/17/2019,AT MATURITY,0.231688008,-0.103699799,-0.454728167,1353180000,1353180000,0.4,#N/A N/A,165.6904347,1/17/2014,BB-,STABLE,BBB
Australia & New Zealand Banking Group Ltd/New York NY,ANZ,MTN,2,11/16/2018,AT MATURITY,0.20656842,2.559411246,0.113869911,750000000,750000000,0.4,#N/A N/A,111.0764231,11/18/2015,AA-,#N/A N/A,AA-
Societe Generale SA,SOCGEN,#N/A Field Not Applicable,3.41738,10/1/2018,AT MATURITY,1.073062181,2.207354282,-6.85524278,250000000,250000000,0.4,42.4156,137.085116,9/26/2013,A,STABLE,A
JPMorgan Chase & Co,JPM,EMTN,0.229,1/27/2020,AT MATURITY,0.119517729,-0.213272813,7.975465939,851445000,851445000,0.4,40.0821,134.8625608,1/21/2015,A,STABLE,A-
Deutsche Bank AG/London,DB,EMTN,5.25,8/27/2019,AT MATURITY,0.514896631,3.301363238,-4.903529627,125460000,125460000,0.4,135.4871,121.3998692,9/10/2014,A,STABLE,BBB-
Swedbank AB,SWEDA,GMTN,1.5,3/18/2019,AT MATURITY,0.17122522,-0.286418433,5.514713014,1044142500,1044142500,0.400000006,#N/A N/A,170.0941801,3/10/2014,A+,STABLE,AA-
JPMorgan Chase & Co,JPM,EMTN,0.272,5/7/2019,AT MATURITY,0.082657203,-0.258975107,7.975465939,1391980000,1391980000,0.4,40.0821,134.8625608,4/29/2014,A,STABLE,A-
Macquarie Group Ltd,MQGAU,REGS,7.625,8/13/2019,AT MATURITY,0.500546098,3.338538427,-11.87771701,500000000,500000000,0.4,#N/A N/A,95.89282895,8/13/2009,A-,STABLE,BBB
Toronto-Dominion Bank/The,TD,MTN,3.18706,1/22/2019,AT MATURITY,1.965869904,2.436454766,10.21195546,500000000,500000000,0.4,#N/A N/A,529.8579664,1/18/2016,AA-,STABLE,AA-
UniCredit SpA,UCGIM,EMTN,4.375,1/29/2020,AT MATURITY,1.462346315,0.569949003,-2.186447839,995437500,995437500,0.4,128.6053,190.482983,1/13/2005,AA-,STABLE,BBB
Allied Irish Banks PLC,AIB,EMTN,2.75,4/16/2019,AT MATURITY,0.202407122,-0.119558268,-5.658783784,691530000,691530000,0.4,#N/A N/A,135.8733939,4/9/2014,BB,POS,BBB
Commonwealth Bank of Australia,CBAAU,EMTN,2.25,12/7/2018,AT MATURITY,0.255840182,0.895783569,0.852541838,669680000,669680000,0.4,#N/A N/A,113.8396329,5/30/2014,AA-,NEG,AA-
Industrial & Commercial Bank of China Ltd/Sydney,ICBCAS,#N/A Field Not Applicable,3.65,10/27/2018,AT MATURITY,0.186985478,3.762571941,5.463711754,176852400,176852400,0.4,#N/A N/A,169.4873458,10/26/2016,A,#N/A N/A,A
Toronto-Dominion Bank/The,TD,MTN,2.92313,11/5/2019,AT MATURITY,0.577334285,2.565095755,10.21195546,500000000,500000000,0.4,#N/A N/A,529.8579664,10/31/2014,AA-,STABLE,AA-
Bank of America Corp,BAC,#N/A Field Not Applicable,5.49,3/15/2019,AT MATURITY,0.973394632,2.599156698,7.04874976,507600000,507600000,0.2,#N/A N/A,131.712137,2/14/2007,AA-,STABLE,BBB+
US Bank NA/Cincinnati OH,USB,BKNT,2,1/24/2020,CALLABLE,0.764613986,3.005841404,5.504748505,1100000000,1100000000,0.4,#N/A N/A,127.7404008,1/24/2017,AA-,STABLE,AA-
BNP Paribas SA,BNP,EMTN,1.375,11/21/2018,AT MATURITY,0.344471365,-0.317574927,0.677117288,839377500,839377500,0.4,41.4199,165.3775959,5/16/2013,A+,POS,A
First Abu Dhabi Bank PJSC,FABUH,EMTN,3,8/13/2019,AT MATURITY,0.546522737,2.940729033,86.58649403,750000000,750000000,0.25,#N/A N/A,115.169065,8/7/2012,A+,STABLE,AA-
Woori Bank,WOORIB,REGS,2.875,10/2/2018,AT MATURITY,0.957244098,3.117785075,4.87215554,500000000,500000000,0.4,#N/A N/A,118.1337764,9/25/2013,A-,STABLE,A
Citibank NA,C,FRN,2.59469,9/18/2019,AT MATURITY,0.517309844,2.614457336,6.772995412,1000000000,1000000000,0.4,#N/A N/A,108.7645895,9/20/2017,A+,STABLE,A+
Bank of America Corp,BAC,EMTN,1.875,1/10/2019,AT MATURITY,0.181441993,-0.237298913,7.04874976,1721187500,1721187500,0.400000006,47.6919,131.712137,12/3/2013,A-,STABLE,A-
Bank of America Corp,BAC,EMTN,5.5,12/4/2019,AT MATURITY,0.547871709,1.280484667,7.04874976,861225000,861225000,0.400000006,47.6919,131.712137,11/25/2003,A+,STABLE,A-
Commonwealth Bank of Australia,CBAAU,REGS,1.75,11/7/2019,AT MATURITY,0.530065715,3.100602842,0.852541838,1000000000,1000000000,0.4,#N/A N/A,113.8396329,10/27/2016,AA-,NEG,AA-
Commonwealth Bank of Australia/New York NY,CBAAU,#N/A Field Not Applicable,1.75,11/2/2018,AT MATURITY,0.124215066,2.534529749,0.852541838,750000000,750000000,0.4,#N/A N/A,113.8396329,10/28/2015,AA-,#N/A N/A,AA-
Australia & New Zealand Banking Group Ltd,ANZ,REGS,5.1,1/13/2020,AT MATURITY,0.581627965,3.222605297,0.113869911,1250000000,1250000000,0.4,#N/A N/A,111.0764231,1/12/2010,AA,NEG,AA-
Morgan Stanley,MS,GMTN,3.71813,2/1/2019,AT MATURITY,0.536427498,2.498987588,15.00171283,500000000,500000000,0.4,52.6796,114.2785657,1/25/2016,BBB+,STABLE,BBB+
BNP Paribas SA,BNP,EMTN,2.375,11/20/2019,AT MATURITY,0.571075976,1.208574885,0.677117288,636968000,636968000,0.4,41.4199,165.3775959,11/14/2012,A+,POS,A
Commonwealth Bank of Australia,CBAAU,MTN,2.98,7/18/2019,AT MATURITY,0.178220868,2.436285894,0.852541838,1551200000,1402284800,0.4,#N/A N/A,113.8396329,4/21/2016,AA-,NEG,AA-
Australia & New Zealand Banking Group Ltd,ANZ,TCD,3.75,7/25/2019,AT MATURITY,0.285315573,2.483424687,0.113869911,376200000,376200000,0.4,#N/A N/A,111.0764231,7/23/2014,AA-,NEG,AA-
Commonwealth Bank of Australia,CBAAU,EMTN,5.125,8/1/2019,AT MATURITY,0.219164073,2.537790478,0.852541838,255300000,255300000,0.4,#N/A N/A,113.8396329,10/6/2014,AA-,NEG,AA-
National Australia Bank Ltd/New York,NAB,#N/A Field Not Applicable,1.375,7/12/2019,AT MATURITY,0.424317032,2.796973624,-1.75497395,1000000000,1000000000,0.4,#N/A N/A,117.5859526,7/20/2016,AA-,#N/A N/A,AA-
National Australia Bank Ltd,NAB,MTN,2.755,11/27/2019,AT MATURITY,0.125614792,2.52659718,-1.75497395,2053260000,2053260000,0.4,#N/A N/A,117.5859526,8/27/2014,AA-,NEG,AA-
Citigroup Inc,C,EMTN,0.223,11/11/2019,AT MATURITY,0.150795624,-0.192828258,6.772995412,1246360000,1246360000,0.4,49.6902,108.7645895,11/4/2014,A-,STABLE,BBB+
Australia & New Zealand Banking Group Ltd/New York NY,ANZ,#N/A Field Not Applicable,2.05,9/23/2019,AT MATURITY,0.455161363,3.002775836,0.113869911,900000000,900000000,0.4,#N/A N/A,111.0764231,11/27/2016,AA-,#N/A N/A,AA-
Goldman Sachs Group Inc/The,GS,#N/A Field Not Applicable,3.36706,10/23/2019,AT MATURITY,0.660826564,2.654466635,12.04391175,500000000,500000000,0.4,54.6932,94.06989897,10/22/2014,A-,STABLE,BBB+
Citigroup Inc,C,#N/A Field Not Applicable,3.17919,12/7/2018,AT MATURITY,0.874854147,2.468064451,6.772995412,350000000,350000000,0.4,49.6902,108.7645895,12/10/2015,BBB+,STABLE,BBB+
Intesa Sanpaolo Bank Ireland PLC,ISPIM,EMTN,4.5,2/27/2019,AT MATURITY,1.198492408,5.108586777,25.43491837,106049450,106049450,0.4,144.5251,247.6859916,2/24/2014,BBB,#N/A N/A,BBB
BNP Paribas SA,BNP,EMTN,5.875,12/4/2019,AT MATURITY,0.31938678,2.689553457,0.677117288,102350000,102350000,0.4,41.4199,165.3775959,12/2/2013,A+,POS,A
Bank of China Ltd/Sydney,BCHINA,TCD,3.2385,6/6/2019,AT MATURITY,0.062927037,2.844847593,3.15440742,368650000,368650000,0.4,#N/A N/A,157.8939882,6/3/2016,A,#N/A N/A,A
Westpac Banking Corp,WSTP,#N/A Field Not Applicable,3.07,11/23/2018,AT MATURITY,0.089524448,2.44307035,-0.340163172,1000000000,1000000000,0.4,#N/A N/A,111.7792018,11/20/2015,AA-,NEG,AA-
National Australia Bank Ltd,NAB,GMTN,0.177,3/25/2019,AT MATURITY,0.086417273,-0.28506557,-1.75497395,1037010000,1037010000,0.4,#N/A N/A,117.5859526,3/25/2014,AA-,NEG,AA-
US Bank NA/Cincinnati OH,USB,BKNT,2.475,3/14/2019,CALLABLE,0.257547349,2.360269615,5.504748505,800000000,800000000,0.4,#N/A N/A,127.7404008,8/10/2017,AA-,STABLE,AA-
Bank of Ireland,BKIR,#N/A Field Not Applicable,3.25,1/15/2019,AT MATURITY,0.188640043,-0.170885572,-9.234291529,1019542500,515180262.8,0.4,#N/A N/A,154.3133273,1/9/2014,BB+,POS,BBB
PNC Bank NA,PNC,BKNT,1.8,11/5/2018,CALLABLE,0.586892307,2.448761906,9.815502649,1000000000,1000000000,0.4,#N/A N/A,124.6877472,10/30/2015,A,STABLE,A
Morgan Stanley,MS,MTN1,3.81813,11/30/2019,AT MATURITY,0.537261426,3.111129711,15.00171283,55000000,55000000,0.4,52.6796,114.2785657,11/29/2011,A-,STABLE,BBB+
International Lease Finance Corp,AER,144A,7.125,9/1/2018,AT MATURITY,0.442284673,2.801504458,-2.225059883,1275000000,1275000000,0.4,87.434,1.282359336,8/10/2010,BBB-,#N/A N/A,BBB-
Australia & New Zealand Banking Group Ltd,ANZ,emtn,0.08,10/28/2019,AT MATURITY,0.122992739,-0.266027081,0.113869911,1273890000,1273890000,0.4,#N/A N/A,111.0764231,10/27/2014,AA-,NEG,AA-
Westpac Banking Corp,WSTP,EMTN,2.25,7/31/2019,AT MATURITY,0.510372043,2.351713733,-0.340163172,91793600,91793600,0.4,#N/A N/A,111.7792018,7/23/2014,AA-,NEG,AA-
Standard Chartered PLC,STANLN,EMTN,4.125,1/18/2019,AT MATURITY,0.2112156,-0.202977172,7.065327653,1285010000,1157165640,0.4,#N/A N/A,221.4619372,1/12/2012,A+,STABLE,BBB+
Australia & New Zealand Banking Group Ltd,ANZ,EMTN,5.125,9/10/2019,AT MATURITY,0.329551339,0.083313866,0.113869911,1094347500,1094347500,0.2,#N/A N/A,111.0764231,9/9/2009,AA-,NEG,BBB+
National Australia Bank Ltd,NAB,MTN,2.7842,5/20/2019,AT MATURITY,0.546127319,2.557747403,-1.75497395,1941450000,1941450000,0.4,#N/A N/A,117.5859526,5/19/2014,AA-,NEG,AA-
Wells Fargo Bank NA,WFC,MTN,2.81938,11/28/2018,AT MATURITY,0.354020834,2.400625597,3.785465511,700000000,700000000,0.4,47.0664,136.2449198,12/5/2016,AA-,STABLE,A+
Capital One NA,COF,#N/A Field Not Applicable,3.09763,9/13/2019,CALLABLE,0.577249825,2.677565255,9.011955376,300000000,300000000,0.4,54.9687,109.2090676,9/9/2016,BBB+,STABLE,BBB+
Swedbank AB,SWEDA,REGS,2.375,2/27/2019,AT MATURITY,0.448137015,2.73948259,5.514713014,1000000000,1000000000,0.400000006,#N/A N/A,170.0941801,2/20/2014,A+,STABLE,AA-
Bank of America Corp,BAC,NOTZ,6.4,8/15/2019,AT MATURITY,0.87460804,3.060963246,7.04874976,73830000,73830000,0.400000006,47.6919,131.712137,8/11/2009,A,STABLE,A-
Commonwealth Bank of Australia,CBAAU,TCD,2.8482,4/24/2019,AT MATURITY,0.209803805,2.538718071,0.852541838,1388550000,1351522000,0.4,#N/A N/A,113.8396329,4/22/2014,AA-,NEG,AA-
Commonwealth Bank of Australia,CBAAU,EMTN,1.625,2/4/2019,AT MATURITY,0.188208178,-0.306984785,0.852541838,1353520000,1353520000,0.4,#N/A N/A,113.8396329,5/21/2014,AA-,NEG,AA-
Svenska Handelsbanken AB,SHBASS,EMTN,4,1/18/2019,AT MATURITY,0.254974782,0.953845995,2.644889551,617040000,617040000,0.4,#N/A N/A,148.4241427,1/16/2012,AA-,STABLE,AA-
First Abu Dhabi Bank PJSC,FABUH,MTN,4.75,3/19/2019,AT MATURITY,0.232105941,2.917871059,86.58649403,364440000,364440000,0.25,#N/A N/A,115.169065,3/18/2014,AA-,STABLE,AA-
Capital One NA,COF,#N/A Field Not Applicable,2.4,9/5/2019,CALLABLE,0.801055133,2.998215988,9.011955376,1000000000,1000000000,0.4,54.9687,109.2090676,9/3/2014,BBB+,STABLE,BBB+
Commonwealth Bank of Australia,CBAAU,EMTN,1.48225,10/26/2018,AT MATURITY,0.125742629,0.828951551,0.852541838,768250000,768250000,0.4,#N/A N/A,113.8396329,10/21/2015,AA-,NEG,AA-
Societe Generale SA,SOCGEN,EMTN,5,12/20/2018,AT MATURITY,0.280474961,0.959091501,-6.85524278,480984000,480984000,0.4,42.4156,137.085116,1/28/2011,A+,STABLE,A
Commonwealth Bank of Australia,CBAAU,REGS,2.86381,9/6/2019,AT MATURITY,0.150201619,2.542018309,0.852541838,250000000,250000000,0.4,#N/A N/A,113.8396329,9/15/2014,AA-,NEG,AA-
Bankinter SA,BKTSM,#N/A Field Not Applicable,1.75,6/10/2019,AT MATURITY,0.395418853,0.011646241,9.472622203,677290000,677290000,0.4,#N/A N/A,219.7620365,5/29/2014,BB,STABLE,BBB+
Westpac Banking Corp,WSTP,MTN,4.5,2/25/2019,AT MATURITY,0.211745828,2.401611699,-0.340163172,993190000,993190000,0.4,#N/A N/A,111.7792018,2/20/2014,AA-,NEG,AA-
National Australia Bank Ltd,NAB,EMTN,5.375,3/28/2019,AT MATURITY,0.181486398,2.424345927,-1.75497395,86570000,86570000,0.4,#N/A N/A,117.5859526,3/26/2014,AA-,NEG,AA-
Wells Fargo & Co,WFC,MTN,4,8/8/2019,AT MATURITY,0.27970621,2.600997551,3.785465511,371000000,371000000,0.4,47.0664,136.2449198,8/1/2014,A+,STABLE,A-
Australia & New Zealand Banking Group Ltd,ANZ,144A,2.25,12/19/2019,AT MATURITY,0.672704399,3.103055526,0.113869911,400000000,400000000,0.4,#N/A N/A,111.0764231,12/19/2017,AA-,NEG,AA-
Svenska Handelsbanken AB,SHBASS,BKNT,2.80381,9/6/2019,AT MATURITY,0.459198296,2.54758904,2.644889551,500000000,500000000,0.4,#N/A N/A,148.4241427,9/2/2016,AA-,STABLE,AA-
Industrial & Commercial Bank of China Ltd,ICBCAS,#N/A Field Not Applicable,3.75,11/19/2018,AT MATURITY,9.024819374,7.230048599,5.463711754,114872800,114872800,0.4,#N/A N/A,169.4873458,11/22/2013,A,STABLE,A
Svenska Handelsbanken AB,SHBASS,MTN,2.25,6/17/2019,AT MATURITY,0.733880341,2.861975506,2.644889551,1000000000,1000000000,0.4,#N/A N/A,148.4241427,6/11/2014,AA-,STABLE,AA-
Citigroup Inc,C,#N/A Field Not Applicable,5.13,11/12/2019,AT MATURITY,0.371144295,2.728278465,6.772995412,236520000,236520000,0.4,49.6902,108.7645895,11/4/2014,A-,STABLE,BBB+
Unione di Banche Italiane SpA,UBIIM,EMTN,0.78,10/30/2018,CALLABLE,0.86193651,0.892668119,11.02432777,381630000,141584730,0.400000006,#N/A N/A,257.5046356,10/17/2006,BBB+,STABLE,BBB-
Goldman Sachs Group Inc/The,GS,*,3.13263,12/13/2019,AT MATURITY,0.651012897,2.704032268,12.04391175,750000000,750000000,0.4,54.6932,94.06989897,12/9/2016,BBB+,STABLE,BBB+
Australia & New Zealand Banking Group Ltd,ANZ,TCd,2.786,7/25/2019,AT MATURITY,0.122618154,2.434915993,0.113869911,1763437500,1763437500,0.4,#N/A N/A,111.0764231,7/23/2014,AA-,NEG,AA-
National Australia Bank Ltd,NAB,REGS,2.92144,1/10/2020,AT MATURITY,0.209969208,2.612896791,-1.75497395,250000000,250000000,0.4,#N/A N/A,117.5859526,1/9/2017,AA-,NEG,AA-
Westpac Banking Corp,WSTP,EMTN,4.5,9/4/2018,AT MATURITY,0.117981374,2.064983334,-0.340163172,114637500,114637500,0.4,#N/A N/A,111.7792018,8/26/2013,AA-,NEG,AA-
US Bank NA/Cincinnati OH,USB,BKNT,2.461,1/17/2020,CALLABLE,0.417491734,2.517756848,5.504748505,500000000,500000000,0.4,#N/A N/A,127.7404008,1/19/2018,AA-,STABLE,AA-
